race_id,horse_number,horse_name,win_prob,win_odds,expected_value,finish_position,bet_amount,payout
202408010102,6,ピースウォリアー,0.08,111.1,8.888,11,100,0.0
202408010102,12,ハチャトリアン,0.09,484.2,43.577999999999996,12,100,0.0
202408010102,14,ダンツパルス,0.05,343.1,17.155,13,100,0.0
202408010102,11,シュラハト,0.1,28.1,2.8100000000000005,14,100,0.0
202408010102,8,シュヴァイゲン,0.06,54.6,3.276,15,100,0.0
202408010102,7,ブルーメンコルソ,0.08,294.4,23.552,16,100,0.0
202408010103,6,カネコメファミリー,0.03,45.5,1.365,5,100,0.0
202408010103,10,ネオアステーリ,0.09,29.1,2.619,8,100,0.0
202408010103,15,サンネリネ,0.07,108.1,7.567,9,100,0.0
202408010103,4,グディンナ,0.08,43.5,3.48,10,100,0.0
202408010103,5,グラス,0.1,27.8,2.7800000000000002,11,100,0.0
202408010103,3,アルピニスト,0.05,59.2,2.9600000000000004,12,100,0.0
202408010103,9,メイショウニコニコ,0.04,62.3,2.492,13,100,0.0
202408010103,14,ワキノルーチェ,0.04,128.2,5.127999999999999,15,100,0.0
202408010103,1,ワンダーエトワール,0.08,336.1,26.888,16,100,0.0
202408010104,10,ギマール,0.1,11.5,1.1500000000000001,6,100,0.0
202408010104,1,エクササイズ,0.12,103.9,12.468,8,100,0.0
202408010104,11,サンライズウェーヴ,0.05,68.0,3.4000000000000004,9,100,0.0
202408010104,16,タガノアウル,0.09,140.6,12.653999999999998,10,100,0.0
202408010104,7,ヤマニンステラータ,0.02,125.8,2.516,12,100,0.0
202408010104,13,タイセイクエスト,0.05,43.6,2.18,13,100,0.0
202408010104,9,スターメイデン,0.07,33.0,2.31,14,100,0.0
202408010104,15,ニホンピロジェシカ,0.12,124.1,14.892,15,100,0.0
202408010104,8,セルリアンジャガー,0.06,154.4,9.264,16,100,0.0
202408010105,12,アクイローネ,0.05,264.9,13.245,8,100,0.0
202408010105,4,コーラルハート,0.07,142.5,9.975000000000001,10,100,0.0
202408010105,18,ヒルノセビリア,0.06,33.0,1.98,11,100,0.0
202408010105,13,ギルトエッジ,0.03,105.7,3.171,12,100,0.0
202408010105,10,テクノドラゴン,0.08,250.0,20.0,13,100,0.0
202408010105,9,エールヴァーゲ,0.08,151.4,12.112,14,100,0.0
202408010105,14,ハッピーギフト,0.11,601.4,66.154,15,100,0.0
202408010105,16,クリノラリマール,0.09,237.8,21.402,16,100,0.0
202408010105,6,ロングレジリエント,0.1,650.7,65.07000000000001,17,100,0.0
202408010106,6,セントキルダ,0.13,62.7,8.151,4,100,0.0
202408010106,1,ルージュレベッカ,0.06,30.6,1.836,5,100,0.0
202408010106,10,アイタカ,0.11,11.2,1.232,6,100,0.0
202408010106,5,アガシ,0.1,22.2,2.22,7,100,0.0
202408010106,8,ハッピーサプライズ,0.05,93.3,4.665,8,100,0.0
202408010106,4,アナベルエクラ,0.09,100.8,9.072,9,100,0.0
202408010106,9,プレパラシオン,0.17,352.5,59.925000000000004,10,100,0.0
202408010107,11,ネッケツシャチョウ,0.09,12.8,1.152,3,100,0.0
202408010107,1,ダノンフューチャー,0.14,13.5,1.8900000000000001,4,100,0.0
202408010107,3,シャンデルナゴル,0.05,70.3,3.515,5,100,0.0
202408010107,4,ダークモード,0.12,14.7,1.7639999999999998,7,100,0.0
202408010107,8,メジャークオリティ,0.08,15.6,1.248,8,100,0.0
202408010107,5,セレクティオ,0.08,34.4,2.752,10,100,0.0
202408010107,6,メイショウホーコン,0.11,201.6,22.176,11,100,0.0
202408010108,6,オカリナ,0.07,66.6,4.662,6,100,0.0
202408010108,8,テンメジャーガール,0.05,135.6,6.78,9,100,0.0
202408010108,15,スカーレットジンク,0.08,55.2,4.416,10,100,0.0
202408010108,2,ブラーヴ,0.03,130.3,3.9090000000000003,11,100,0.0
202408010108,10,フクノワカバ,0.06,61.1,3.666,12,100,0.0
202408010108,7,エクサープト,0.05,61.0,3.0500000000000003,13,100,0.0
202408010108,14,テイエムフェロー,0.05,38.2,1.9100000000000001,14,100,0.0
202408010108,5,ナツイロノオトメ,0.12,194.9,23.387999999999998,15,100,0.0
202408010108,3,ロードジャスティス,0.06,47.1,2.826,16,100,0.0
202408010109,2,メイショウヒューマ,0.1,32.4,3.24,5,100,0.0
202408010109,10,ナムラフランク,0.09,18.6,1.6740000000000002,7,100,0.0
202408010109,7,マイネルプロンプト,0.09,238.0,21.419999999999998,8,100,0.0
202408010109,3,ヴァンデリオン,0.15,84.9,12.735000000000001,9,100,0.0
202408010109,4,ウインアキレウス,0.08,110.7,8.856,10,100,0.0
202408010110,2,メロディーレーン,0.07,23.5,1.6450000000000002,3,100,0.0
202408010110,9,ジャンカズマ,0.05,53.2,2.66,4,100,0.0
202408010110,7,ワンダフルタウン,0.09,45.8,4.122,5,100,0.0
202408010110,3,アスティ,0.06,136.9,8.214,7,100,0.0
202408010110,1,ビジン,0.12,31.4,3.768,11,100,0.0
202408010110,5,フォワードアゲン,0.1,60.3,6.03,12,100,0.0
202408010110,12,ボスジラ,0.09,84.0,7.56,13,100,0.0
202408010111,18,アヴェラーレ,0.14,10.5,1.4700000000000002,4,100,0.0
202408010111,7,タイムトゥヘヴン,0.05,56.2,2.8100000000000005,7,100,0.0
202408010111,3,ルプリュフォール,0.05,134.4,6.720000000000001,9,100,0.0
202408010111,10,アンドヴァラナウト,0.07,18.0,1.2600000000000002,10,100,0.0
202408010111,8,サヴァ,0.07,163.0,11.410000000000002,12,100,0.0
202408010111,12,ビューティフルデイ,0.05,81.9,4.095000000000001,15,100,0.0
202408010111,13,マテンロウオリオン,0.08,31.1,2.488,16,100,0.0
202408010111,6,シャイニーロック,0.06,118.6,7.116,17,100,0.0
202408010111,16,ドルチェモア,0.02,125.9,2.5180000000000002,18,100,0.0
202408010112,15,ノーブルライジング,0.06,28.5,1.71,4,100,0.0
202408010112,6,ヴィトーリア,0.06,86.5,5.1899999999999995,5,100,0.0
202408010112,10,トリオンファルマン,0.08,53.8,4.304,6,100,0.0
202408010112,4,ロードマンハイム,0.1,15.2,1.52,8,100,0.0
202408010112,8,コナブラック,0.05,72.1,3.605,11,100,0.0
202408010112,11,マグマオーシャン,0.07,149.7,10.479000000000001,12,100,0.0
202408010112,7,フォーサイドナイン,0.08,270.0,21.6,14,100,0.0
202408010112,16,ニホンピロアリー,0.11,144.8,15.928,15,100,0.0
202408010112,17,アルファヒディ,0.07,47.1,3.2970000000000006,16,100,0.0
202408010112,14,マテンロウボンド,0.09,31.9,2.8709999999999996,17,100,0.0
202405010301,16,エリカポラリス,0.1,50.8,5.08,2,100,0.0
202405010301,14,サンセットカラー,0.05,410.9,20.545,5,100,0.0
202405010301,3,モスオーキッド,0.07,35.0,2.45,6,100,0.0
202405010301,11,ハーツケリー,0.03,53.8,1.6139999999999999,7,100,0.0
202405010301,10,メイシャローナ,0.11,161.3,17.743000000000002,9,100,0.0
202405010301,13,フクチャンフクメイ,0.07,23.3,1.6310000000000002,10,100,0.0
202405010301,9,ファインデイ,0.05,388.8,19.44,11,100,0.0
202405010301,7,レモンシフォン,0.05,103.7,5.1850000000000005,13,100,0.0
202405010301,4,ビルマチーク,0.07,524.4,36.708,14,100,0.0
202405010301,2,グランヴィルローズ,0.04,497.5,19.900000000000002,15,100,0.0
202405010301,6,オスカージュエル,0.05,556.4,27.82,16,100,0.0
202405010302,2,ペッパーミル,0.08,247.1,19.768,1,100,24710.0
202405010302,15,プエルトガレラ,0.04,159.7,6.388,7,100,0.0
202405010302,8,ロマンスヒコー,0.03,544.1,16.323,8,100,0.0
202405010302,4,アルマーレシチー,0.05,67.6,3.38,9,100,0.0
202405010302,5,グランバイオレット,0.06,511.8,30.708,10,100,0.0
202405010302,1,カガカプチーノ,0.08,182.5,14.6,11,100,0.0
202405010302,7,グシュタッドパレス,0.11,117.1,12.881,12,100,0.0
202405010302,14,タマモアルタイル,0.05,126.1,6.305,13,100,0.0
202405010302,12,ピピット,0.09,930.2,83.718,15,100,0.0
202405010303,9,ダイクロアイト,0.06,20.6,1.236,4,100,0.0
202405010303,13,ユイノパチョレック,0.04,186.1,7.444,6,100,0.0
202405010303,10,サウンドロックス,0.06,39.1,2.346,7,100,0.0
202405010303,7,キツネノヨメイリ,0.07,70.5,4.9350000000000005,8,100,0.0
202405010303,8,サンディビーチ,0.04,84.6,3.384,9,100,0.0
202405010303,2,パレスパートナー,0.13,38.4,4.992,10,100,0.0
202405010303,1,ユイノサンバンカン,0.05,44.2,2.2100000000000004,11,100,0.0
202405010303,14,キングクレオール,0.1,276.5,27.650000000000002,12,100,0.0
202405010303,3,ニシノタカラジマ,0.12,188.0,22.56,13,100,0.0
202405010303,16,マイネルスピカ,0.03,52.5,1.575,14,100,0.0
202405010303,5,ナムラダリル,0.05,191.3,9.565000000000001,15,100,0.0
202405010303,6,ラスジャン,0.05,343.6,17.180000000000003,16,100,0.0
202405010304,6,スタンリーテソーロ,0.13,9.7,1.261,2,100,0.0
202405010304,2,ニシノアウェイク,0.1,17.5,1.75,3,100,0.0
202405010304,8,ライングッドマン,0.2,13.8,2.7600000000000002,4,100,0.0
202405010304,1,キミハスコール,0.14,11.4,1.5960000000000003,5,100,0.0
202405010304,5,エフエイト,0.08,39.8,3.1839999999999997,6,100,0.0
202405010304,4,ベニカケソラ,0.1,205.1,20.51,7,100,0.0
202405010305,15,ラーリア,0.06,31.5,1.89,2,100,0.0
202405010305,14,ウインセレーネ,0.05,76.3,3.815,4,100,0.0
202405010305,11,ケイツールピア,0.06,88.5,5.31,5,100,0.0
202405010305,16,ショーヴェサル,0.1,16.0,1.6,6,100,0.0
202405010305,3,デルマプラクリティ,0.06,159.2,9.552,8,100,0.0
202405010305,10,サツキバラード,0.05,91.7,4.585,10,100,0.0
202405010305,5,キャラメルミルク,0.05,91.4,4.57,11,100,0.0
202405010305,9,オリフラム,0.04,47.3,1.892,12,100,0.0
202405010305,6,レインボートパーズ,0.06,269.2,16.151999999999997,13,100,0.0
202405010305,13,サンマルファンキー,0.06,231.4,13.884,14,100,0.0
202405010305,8,チェリーブランコ,0.1,227.0,22.700000000000003,15,100,0.0
202405010305,1,ノイジーボーイ,0.07,216.0,15.120000000000001,16,100,0.0
202405010306,5,ローランド,0.09,35.2,3.168,3,100,0.0
202405010306,7,ヘルト,0.1,19.1,1.9100000000000001,5,100,0.0
202405010306,13,アヴィエーター,0.07,35.4,2.478,7,100,0.0
202405010306,2,グランドブレーカー,0.04,83.3,3.332,8,100,0.0
202405010306,8,ポンポンダリア,0.05,186.5,9.325000000000001,9,100,0.0
202405010306,4,ファルギュラント,0.1,215.2,21.52,10,100,0.0
202405010306,1,インフレイサー,0.06,115.7,6.942,11,100,0.0
202405010306,12,フィオルダリーゾ,0.1,280.9,28.09,12,100,0.0
202405010307,2,レッドロスタム,0.1,15.4,1.54,4,100,0.0
202405010307,13,ビターグラッセ,0.08,57.3,4.584,5,100,0.0
202405010307,5,ダッチアイリス,0.11,178.5,19.635,6,100,0.0
202405010307,1,スイーツバイキング,0.12,112.8,13.536,7,100,0.0
202405010307,6,サルトルーヴィル,0.07,301.4,21.098,8,100,0.0
202405010307,9,レッツリブオン,0.05,273.0,13.65,9,100,0.0
202405010307,10,キセキノエンジェル,0.08,295.9,23.671999999999997,11,100,0.0
202405010307,8,アマギール,0.09,159.2,14.327999999999998,12,100,0.0
202405010307,12,サーストンシカゴ,0.07,267.9,18.753,13,100,0.0
202405010308,4,ピックアップライン,0.08,14.5,1.16,2,100,0.0
202405010308,14,チャールストン,0.07,151.8,10.626000000000001,5,100,0.0
202405010308,3,ベンテイガ,0.07,94.7,6.6290000000000004,7,100,0.0
202405010308,16,ブレットフライ,0.06,158.4,9.504,8,100,0.0
202405010308,15,スイッチオン,0.05,45.3,2.265,9,100,0.0
202405010308,10,デイドリームビーチ,0.04,512.9,20.516,11,100,0.0
