feature,importance,year,roi
course_start_to_corner_m,0.0,2025,66.85962373371925
course_final_straight_m,0.0,2025,66.85962373371925
course_slope_percent,0.0,2025,66.85962373371925
course_is_outer,0.0,2025,66.85962373371925
course_turn_direction,0.0,2025,66.85962373371925
straight_ratio,0.0,2025,66.85962373371925
is_long_straight,0.0,2025,66.85962373371925
style_straight_match,0.0,2025,66.85962373371925
front_slope_disadvantage,0.0,2025,66.85962373371925
closer_long_straight_advantage,0.0,2025,66.85962373371925
horse_win_rate,0.0,2024,83.65083960625363
horse_top3_rate,8182.048843383789,2024,83.65083960625363
horse_avg_finish,2148.0520401000977,2024,83.65083960625363
horse_total_races,652.8208961486816,2024,83.65083960625363
horse_last_finish,66499.54348754883,2024,83.65083960625363
horse_last3_avg_finish,56280.76207733154,2024,83.65083960625363
horse_days_since_last,314.83260345458984,2024,83.65083960625363
horse_last3f_avg,0.0,2024,83.65083960625363
jockey_win_rate,14294.18692779541,2024,83.65083960625363
jockey_top3_rate,26917.748107910156,2024,83.65083960625363
jockey_races,0.0,2024,83.65083960625363
trainer_win_rate,786.0720062255859,2024,83.65083960625363
trainer_top3_rate,459.22540283203125,2024,83.65083960625363
trainer_races,0.0,2024,83.65083960625363
sire_win_rate,0.0,2024,83.65083960625363
sire_races,0.0,2024,83.65083960625363
horse_avg_c4_pos,885.351318359375,2024,83.65083960625363
horse_avg_c4_gap,13540.759281158447,2024,83.65083960625363
horse_running_style,145.875,2024,83.65083960625363
venue_pace_avg,0.0,2024,83.65083960625363
bracket_bias,0.0,2024,83.65083960625363
distance_category_encoded,0.0,2024,83.65083960625363
track_condition_encoded,0.0,2024,83.65083960625363
track_surface_encoded,0.0,2024,83.65083960625363
bracket_number,0.0,2024,83.65083960625363
horse_weight,0.0,2024,83.65083960625363
age,358.4872055053711,2024,83.65083960625363
sex_encoded,0.0,2024,83.65083960625363
distance_m,0.0,2024,83.65083960625363
basis_weight,10.993800163269043,2024,83.65083960625363
field_size,0.0,2024,83.65083960625363
race_class,863.0393981933594,2024,83.65083960625363
prev_race_class,85.20279693603516,2024,83.65083960625363
class_change,0.0,2024,83.65083960625363
is_class_up,0.0,2024,83.65083960625363
is_class_down,0.0,2024,83.65083960625363
weight_trend,0.0,2024,83.65083960625363
horse_last3f_rank_avg,0.0,2024,83.65083960625363
horse_c4_leader_rate,0.0,2024,83.65083960625363
is_chitose_bred,0.0,2024,83.65083960625363
rest_days_optimal,0.0,2024,83.65083960625363
heavy_track_fit,794.4042015075684,2024,83.65083960625363
prev_finish_category,14772.228317260742,2024,83.65083960625363
distance_change,430.8320007324219,2024,83.65083960625363
distance_extend_flag,0.0,2024,83.65083960625363
surface_switch_flag,4028.9039916992188,2024,83.65083960625363
basis_weight_light_flag,0.0,2024,83.65083960625363
horse_position_improvement_avg,0.0,2024,83.65083960625363
horse_front_runner_rate,12894.51545715332,2024,83.65083960625363
venue_expected_pace,0.0,2024,83.65083960625363
pace_style_match_score,0.0,2024,83.65083960625363
race_front_runner_count,0.0,2024,83.65083960625363
horse_c4_gap_avg,2532.820960998535,2024,83.65083960625363
post_style_conflict,4801.957046508789,2024,83.65083960625363
front_runner_competition,0.0,2024,83.65083960625363
course_corner_count,0.0,2024,83.65083960625363
course_start_to_corner_m,0.0,2024,83.65083960625363
course_final_straight_m,0.0,2024,83.65083960625363
course_slope_percent,0.0,2024,83.65083960625363
course_is_outer,0.0,2024,83.65083960625363
course_turn_direction,0.0,2024,83.65083960625363
straight_ratio,0.0,2024,83.65083960625363
is_long_straight,0.0,2024,83.65083960625363
style_straight_match,273.5363998413086,2024,83.65083960625363
front_slope_disadvantage,0.0,2024,83.65083960625363
closer_long_straight_advantage,0.0,2024,83.65083960625363
horse_win_rate,0.0,2023,81.99942129629628
horse_top3_rate,4357.043060302734,2023,81.99942129629628
horse_avg_finish,1743.0189819335938,2023,81.99942129629628
horse_total_races,182.5980987548828,2023,81.99942129629628
horse_last_finish,46033.263931274414,2023,81.99942129629628
horse_last3_avg_finish,39685.58464050293,2023,81.99942129629628
horse_days_since_last,283.1520004272461,2023,81.99942129629628
horse_last3f_avg,0.0,2023,81.99942129629628
jockey_win_rate,9089.850135803223,2023,81.99942129629628
jockey_top3_rate,22430.963806152344,2023,81.99942129629628
jockey_races,0.0,2023,81.99942129629628
trainer_win_rate,0.0,2023,81.99942129629628
trainer_top3_rate,0.0,2023,81.99942129629628
trainer_races,0.0,2023,81.99942129629628
sire_win_rate,0.0,2023,81.99942129629628
sire_races,0.0,2023,81.99942129629628
horse_avg_c4_pos,399.1169891357422,2023,81.99942129629628
horse_avg_c4_gap,8846.546661376953,2023,81.99942129629628
horse_running_style,0.0,2023,81.99942129629628
venue_pace_avg,0.0,2023,81.99942129629628
bracket_bias,0.0,2023,81.99942129629628
distance_category_encoded,0.0,2023,81.99942129629628
track_condition_encoded,0.0,2023,81.99942129629628
track_surface_encoded,0.0,2023,81.99942129629628
bracket_number,0.0,2023,81.99942129629628
horse_weight,0.0,2023,81.99942129629628
age,0.0,2023,81.99942129629628
sex_encoded,0.0,2023,81.99942129629628
distance_m,0.0,2023,81.99942129629628
basis_weight,0.0,2023,81.99942129629628
field_size,0.0,2023,81.99942129629628
race_class,265.92029571533203,2023,81.99942129629628
prev_race_class,0.0,2023,81.99942129629628
class_change,0.0,2023,81.99942129629628
is_class_up,0.0,2023,81.99942129629628
is_class_down,0.0,2023,81.99942129629628
weight_trend,0.0,2023,81.99942129629628
horse_last3f_rank_avg,242.4739990234375,2023,81.99942129629628
horse_c4_leader_rate,0.0,2023,81.99942129629628
is_chitose_bred,0.0,2023,81.99942129629628
rest_days_optimal,0.0,2023,81.99942129629628
heavy_track_fit,458.9969940185547,2023,81.99942129629628
prev_finish_category,10079.887599945068,2023,81.99942129629628
distance_change,439.07398986816406,2023,81.99942129629628
distance_extend_flag,0.0,2023,81.99942129629628
surface_switch_flag,2030.0270080566406,2023,81.99942129629628
basis_weight_light_flag,0.0,2023,81.99942129629628
horse_position_improvement_avg,0.0,2023,81.99942129629628
horse_front_runner_rate,8262.290954589844,2023,81.99942129629628
venue_expected_pace,0.0,2023,81.99942129629628
pace_style_match_score,0.0,2023,81.99942129629628
race_front_runner_count,0.0,2023,81.99942129629628
horse_c4_gap_avg,801.10302734375,2023,81.99942129629628
post_style_conflict,2199.6710205078125,2023,81.99942129629628
front_runner_competition,0.0,2023,81.99942129629628
course_corner_count,0.0,2023,81.99942129629628
course_start_to_corner_m,0.0,2023,81.99942129629628
course_final_straight_m,0.0,2023,81.99942129629628
course_slope_percent,0.0,2023,81.99942129629628
course_is_outer,0.0,2023,81.99942129629628
course_turn_direction,0.0,2023,81.99942129629628
straight_ratio,0.0,2023,81.99942129629628
is_long_straight,0.0,2023,81.99942129629628
style_straight_match,0.0,2023,81.99942129629628
front_slope_disadvantage,0.0,2023,81.99942129629628
closer_long_straight_advantage,0.0,2023,81.99942129629628
horse_win_rate,0.0,2022,77.75752314814815
horse_top3_rate,3803.0830154418945,2022,77.75752314814815
horse_avg_finish,184.60050201416016,2022,77.75752314814815
horse_total_races,863.1296768188477,2022,77.75752314814815
horse_last_finish,43331.760513305664,2022,77.75752314814815
horse_last3_avg_finish,33397.90852355957,2022,77.75752314814815
horse_days_since_last,295.4996032714844,2022,77.75752314814815
horse_last3f_avg,0.0,2022,77.75752314814815
jockey_win_rate,9318.319232940674,2022,77.75752314814815
jockey_top3_rate,19006.086559295654,2022,77.75752314814815
jockey_races,0.0,2022,77.75752314814815
trainer_win_rate,0.0,2022,77.75752314814815
trainer_top3_rate,0.0,2022,77.75752314814815
trainer_races,0.0,2022,77.75752314814815
sire_win_rate,0.0,2022,77.75752314814815
sire_races,0.0,2022,77.75752314814815
horse_avg_c4_pos,270.0190124511719,2022,77.75752314814815
horse_avg_c4_gap,9971.307998657227,2022,77.75752314814815
horse_running_style,119.85299682617188,2022,77.75752314814815
venue_pace_avg,0.0,2022,77.75752314814815
bracket_bias,0.0,2022,77.75752314814815
distance_category_encoded,0.0,2022,77.75752314814815
