threshold,roi,hit_rate,bet_count,avg_odds_hit,model,year
1.2999999999999998,71.46778042959428,6.205250596658711,838,11.517307692307694,V15_Binary（的中型）,2023
1.4,70.88157894736842,5.921052631578947,760,11.971111111111112,V15_Binary（的中型）,2023
1.4999999999999998,69.4857142857143,5.857142857142858,700,11.863414634146343,V15_Binary（的中型）,2023
1.5999999999999996,63.79905808477236,4.866562009419153,637,13.10967741935484,V15_Binary（的中型）,2023
1.6999999999999997,64.67226890756302,4.705882352941177,595,13.742857142857146,V15_Binary（的中型）,2023
1.7999999999999998,57.27605118829982,3.656307129798903,547,15.665000000000001,V15_Binary（的中型）,2023
1.8999999999999997,55.02958579881657,3.155818540433925,507,17.4375,V15_Binary（的中型）,2023
1.9999999999999996,51.89583333333333,2.7083333333333335,480,19.161538461538463,V15_Binary（的中型）,2023
2.0999999999999996,51.3968957871397,2.6607538802660753,451,19.316666666666666,V15_Binary（的中型）,2023
2.1999999999999997,47.725118483412324,2.3696682464454977,422,20.14,V15_Binary（的中型）,2023
2.3,50.476190476190474,2.506265664160401,399,20.14,V15_Binary（的中型）,2023
2.3999999999999995,53.13984168865436,2.638522427440633,379,20.14,V15_Binary（的中型）,2023
2.4999999999999996,51.58333333333333,2.5,360,20.633333333333336,V15_Binary（的中型）,2023
2.5999999999999996,52.14705882352941,2.3529411764705883,340,22.1625,V15_Binary（的中型）,2023
2.6999999999999993,54.55384615384615,2.4615384615384617,325,22.1625,V15_Binary（的中型）,2023
2.7999999999999994,34.645161290322584,1.6129032258064515,310,21.48,V15_Binary（的中型）,2023
2.8999999999999995,36.53061224489796,1.7006802721088436,294,21.48,V15_Binary（的中型）,2023
2.9999999999999996,34.100719424460436,1.4388489208633095,278,23.700000000000003,V15_Binary（的中型）,2023
3.0999999999999996,35.50561797752809,1.4981273408239701,267,23.700000000000003,V15_Binary（的中型）,2023
3.1999999999999993,37.1764705882353,1.5686274509803921,255,23.700000000000003,V15_Binary（的中型）,2023
3.2999999999999994,38.53658536585367,1.6260162601626018,246,23.700000000000003,V15_Binary（的中型）,2023
3.3999999999999995,30.893617021276594,1.276595744680851,235,24.2,V15_Binary（的中型）,2023
3.499999999999999,32.55605381165919,1.345291479820628,223,24.2,V15_Binary（的中型）,2023
3.599999999999999,34.24528301886792,1.4150943396226416,212,24.2,V15_Binary（的中型）,2023
3.6999999999999993,37.230769230769226,1.5384615384615385,195,24.2,V15_Binary（的中型）,2023
3.7999999999999994,39.45652173913043,1.6304347826086956,184,24.2,V15_Binary（的中型）,2023
3.8999999999999995,41.96531791907514,1.7341040462427744,173,24.2,V15_Binary（的中型）,2023
3.999999999999999,43.99999999999999,1.8181818181818181,165,24.2,V15_Binary（的中型）,2023
0.5,78.06712962962963,16.435185185185187,3456,4.75,V4.4_Residual（穴馬検出型）,2023
0.6,78.06712962962963,16.435185185185187,3456,4.75,V4.4_Residual（穴馬検出型）,2023
0.7,78.06712962962963,16.435185185185187,3456,4.75,V4.4_Residual（穴馬検出型）,2023
0.7999999999999999,78.05788712011578,16.410998552821997,3455,4.756437389770722,V4.4_Residual（穴馬検出型）,2023
0.8999999999999999,78.08806488991888,16.396292004634994,3452,4.762544169611307,V4.4_Residual（穴馬検出型）,2023
0.9999999999999999,78.07424593967517,16.328306264501162,3448,4.781527531083482,V4.4_Residual（穴馬検出型）,2023
1.0999999999999999,78.05474665113569,16.13278974956319,3434,4.838267148014441,V4.4_Residual（穴馬検出型）,2023
1.1999999999999997,78.08098591549296,15.874413145539906,3408,4.918669131238447,V4.4_Residual（穴馬検出型）,2023
1.2999999999999998,78.02188054405677,15.552927261975164,3382,5.016539923954373,V4.4_Residual（穴馬検出型）,2023
1.4,77.96828246558947,15.110712148414123,3342,5.1598019801980195,V4.4_Residual（穴馬検出型）,2023
1.4999999999999998,77.99999999999999,14.719271623672231,3295,5.299175257731959,V4.4_Residual（穴馬検出型）,2023
1.5999999999999996,78.1282762873882,14.338575393154487,3243,5.448817204301076,V4.4_Residual（穴馬検出型）,2023
1.6999999999999997,78.06542938030829,13.777917584145957,3179,5.665981735159817,V4.4_Residual（穴馬検出型）,2023
1.7999999999999998,78.19604086845467,13.473818646232438,3132,5.803554502369668,V4.4_Residual（穴馬検出型）,2023
1.8999999999999997,78.13090198632368,12.992510582872029,3071,6.013533834586466,V4.4_Residual（穴馬検出型）,2023
1.9999999999999996,78.25538971807627,12.669983416252073,3015,6.176439790575916,V4.4_Residual（穴馬検出型）,2023
2.0999999999999996,78.16587997302766,12.306136210384357,2966,6.351780821917807,V4.4_Residual（穴馬検出型）,2023
2.1999999999999997,78.03014731072284,11.956149366221307,2919,6.526361031518624,V4.4_Residual（穴馬検出型）,2023
2.3,77.47907949790796,11.436541143654114,2868,6.774695121951219,V4.4_Residual（穴馬検出型）,2023
2.3999999999999995,78.18052594171996,11.371712864250178,2814,6.875,V4.4_Residual（穴馬検出型）,2023
2.4999999999999996,78.17095255342268,11.046722202100687,2761,7.07639344262295,V4.4_Residual（穴馬検出型）,2023
2.5999999999999996,77.6186970923813,10.599926389400073,2717,7.322569444444444,V4.4_Residual（穴馬検出型）,2023
2.6999999999999993,77.27476635514017,10.2803738317757,2675,7.516727272727272,V4.4_Residual（穴馬検出型）,2023
2.7999999999999994,77.16634799235183,9.94263862332696,2615,7.761153846153847,V4.4_Residual（穴馬検出型）,2023
2.8999999999999995,76.68478260869566,9.588509316770185,2576,7.99757085020243,V4.4_Residual（穴馬検出型）,2023
2.9999999999999996,76.87549563838223,9.35765265662173,2522,8.215254237288136,V4.4_Residual（穴馬検出型）,2023
3.0999999999999996,77.22964763061968,9.194005670311867,2469,8.4,V4.4_Residual（穴馬検出型）,2023
3.1999999999999993,77.47944078947368,9.087171052631579,2432,8.526244343891403,V4.4_Residual（穴馬検出型）,2023
3.2999999999999994,78.24716267339218,9.03741067675494,2379,8.658139534883722,V4.4_Residual（穴馬検出型）,2023
3.3999999999999995,79.58081244598098,9.075194468452894,2314,8.769047619047619,V4.4_Residual（穴馬検出型）,2023
3.499999999999999,80.00441111601235,8.954565505072784,2267,8.934482758620689,V4.4_Residual（穴馬検出型）,2023
3.599999999999999,79.75314183123878,8.707360861759424,2228,9.159278350515464,V4.4_Residual（穴馬検出型）,2023
3.6999999999999993,78.91780821917808,8.310502283105023,2190,9.496153846153845,V4.4_Residual（穴馬検出型）,2023
3.7999999999999994,79.29832713754647,8.224907063197026,2152,9.641242937853107,V4.4_Residual（穴馬検出型）,2023
3.8999999999999995,78.90104662226452,7.897240723120837,2102,9.990963855421686,V4.4_Residual（穴馬検出型）,2023
3.999999999999999,78.82068632189464,7.7332044465925565,2069,10.192499999999999,V4.4_Residual（穴馬検出型）,2023
0.5,74.23812282734646,19.380069524913093,3452,3.8306427503736917,Ensemble,2023
0.6,74.18867924528303,19.245283018867926,3445,3.854901960784314,Ensemble,2023
0.7,74.08049353701527,18.772032902467686,3404,3.9463223787167445,Ensemble,2023
0.7999999999999999,73.94285714285715,17.924812030075188,3325,4.1251677852349,Ensemble,2023
0.8999999999999999,73.74690594059405,17.048267326732674,3232,4.325771324863884,Ensemble,2023
0.9999999999999999,73.84813384813384,16.248391248391247,3108,4.5449504950495045,Ensemble,2023
1.0999999999999999,73.87453874538745,15.397517611539751,2981,4.7978213507625265,Ensemble,2023
1.1999999999999997,73.10848400556328,14.429763560500694,2876,5.066506024096386,Ensemble,2023
1.2999999999999998,73.05716353111433,13.784370477568741,2764,5.300000000000001,Ensemble,2023
1.4,72.04182509505704,12.661596958174906,2630,5.68978978978979,Ensemble,2023
1.4999999999999998,71.96499602227526,12.052505966587113,2514,5.970957095709571,Ensemble,2023
1.5999999999999996,71.01786456169505,11.258828417116742,2407,6.307749077490775,Ensemble,2023
1.6999999999999997,70.25119099177132,10.567345171069727,2309,6.647950819672131,Ensemble,2023
1.7999999999999998,71.0625844214318,10.44574515983791,2221,6.803017241379311,Ensemble,2023
1.8999999999999997,71.70627376425854,10.123574144486692,2104,7.0830985915492946,Ensemble,2023
1.9999999999999996,71.93756194251735,9.81169474727453,2018,7.331818181818181,Ensemble,2023
2.0999999999999996,71.3191929643042,9.311950336264873,1933,7.658888888888888,Ensemble,2023
2.1999999999999997,71.31422390481342,8.97782585181179,1849,7.943373493975903,Ensemble,2023
2.3,69.13978494623656,8.149405772495756,1767,8.484027777777776,Ensemble,2023
2.3999999999999995,67.83767772511847,7.5829383886255926,1688,8.94609375,Ensemble,2023
2.4999999999999996,67.731196054254,7.336621454993835,1622,9.231932773109241,Ensemble,2023
2.5999999999999996,67.13832487309645,7.043147208121828,1576,9.53243243243243,Ensemble,2023
2.6999999999999993,68.67063492063494,7.076719576719577,1512,9.70373831775701,Ensemble,2023
2.7999999999999994,68.98421413864105,6.9320521619766655,1457,9.95148514851485,Ensemble,2023
2.8999999999999995,70.1932712956335,6.9434502505368645,1397,10.109278350515464,Ensemble,2023
2.9999999999999996,71.17956423741548,6.836964688204357,1331,10.410989010989011,Ensemble,2023
3.0999999999999996,70.46057767369243,6.557377049180328,1281,10.745238095238095,Ensemble,2023
3.1999999999999993,70.45197740112994,6.376109765940274,1239,11.049367088607596,Ensemble,2023
3.2999999999999994,70.125,6.166666666666667,1200,11.37162162162162,Ensemble,2023
3.3999999999999995,70.81196581196582,6.153846153846154,1170,11.506944444444446,Ensemble,2023
3.499999999999999,68.67724867724867,5.731922398589065,1134,11.981538461538461,Ensemble,2023
3.599999999999999,71.64673413063477,5.979760809567617,1087,11.981538461538461,Ensemble,2023
3.6999999999999993,69.58333333333333,5.587121212121212,1056,12.454237288135594,Ensemble,2023
3.7999999999999994,71.8982387475538,5.772994129158512,1022,12.454237288135594,Ensemble,2023
