year,condition,bet_type,total,hits,hit_rate,roi,avg_return
2025,単勝 5-10倍,tansho,837,101,12.066905615292713,79.95221027479093,6.625742574257426
2025,単勝 10-20倍,tansho,380,21,5.526315789473684,72.55263157894737,13.128571428571428
2025,単勝 20-50倍,tansho,206,7,3.3980582524271843,109.02912621359224,32.08571428571428
2025,単勝 50倍以上,tansho,73,0,0.0,0.0,0.0
2025,複勝 1-5倍,fukusho,1954,1227,62.7942681678608,84.65711361310132,1.348166259168704
2025,複勝 5-10倍,fukusho,837,305,36.43966547192354,73.10633213859022,2.0062295081967214
2025,複勝 10-20倍,fukusho,380,103,27.105263157894736,83.3421052631579,3.074757281553398
2025,複勝 20-50倍,fukusho,206,23,11.165048543689322,65.92233009708738,5.904347826086956
2025,馬連 1-5倍,umaren,1954,218,11.156601842374616,81.02354145342888,7.262385321100917
2025,馬連 5-10倍,umaren,837,37,4.4205495818399045,50.56152927120669,11.437837837837838
2025,馬連 10-20倍,umaren,380,13,3.421052631578948,108.21052631578947,31.630769230769225
2025,馬連 20-50倍,umaren,206,4,1.9417475728155338,133.49514563106797,68.75
2025,馬単 1-5倍,umatan,1954,113,5.783009211873081,69.19651995905834,11.965486725663718
2025,馬単 5-10倍,umatan,837,17,2.031063321385902,61.648745519713266,30.352941176470587
2025,馬単 10-20倍,umatan,380,1,0.2631578947368421,15.842105263157896,60.2
2025,馬単 20-50倍,umatan,206,4,1.9417475728155338,374.8543689320388,193.05
2025,三連複 1-5倍,sanrenpuku,1954,93,4.759467758444217,57.528147389969284,12.087096774193546
2025,三連複 5-10倍,sanrenpuku,837,19,2.2700119474313025,68.97252090800478,30.384210526315787
2025,三連複 10-20倍,sanrenpuku,380,10,2.631578947368421,66.02631578947368,25.09
2025,三連複 20-50倍,sanrenpuku,206,0,0.0,0.0,0.0
