feature_name,dtype,null_rate,unique_count,zero_rate,mean,std,min,max,median
past_5_last_3f_time_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_last_3f_time_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_last_3f_time_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_last_3f_time_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_margin_seconds_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_margin_seconds_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_margin_seconds_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_margin_seconds_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_passing_order_1_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_passing_order_1_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_passing_order_1_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_passing_order_1_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_passing_order_4_max,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_passing_order_4_mean,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_passing_order_4_median,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
past_5_passing_order_4_std,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
position_change_1_2,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
position_change_2_3,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
position_change_3_4,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
prize_1st,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
prize_2nd,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
prize_3rd,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
prize_4th,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
prize_5th,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
round_of_year,Int64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
senko_ratio,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
sex_セ,int32,0.0,2,0.9526094654229316,0.04739053457706841,0.2124733169132429,0.0,1.0,0.0
sex_牝,int32,0.0,2,0.5842242951140237,0.41577570488597626,0.49285652260807167,0.0,1.0,0.0
sex_牡,int32,0.0,2,0.4631662394630447,0.5368337605369553,0.49864274603134373,0.0,1.0,1.0
trainer_win_rate,float64,0.0,448,0.00021668472372697725,0.0853304841492743,0.034265791048493685,0.0,0.3333333333333333,0.0819254064392732
trainer_中京_win_rate,float64,0.0,314,0.07484078957799328,0.08597687654635171,0.05374403039162418,0.0,0.30869565217391304,0.08383233532934131
trainer_中山_win_rate,float64,0.0,320,0.09578521787384721,0.08705130781581721,0.06276256465495754,0.0,1.0,0.08542713567839195
trainer_京都_win_rate,float64,0.0,226,0.23957402954311233,0.07685160262331932,0.06361811870743525,0.0,1.0,0.07462686567164178
trainer_函館_win_rate,float64,0.0,188,0.08980260550167798,0.11087828256147106,0.07166216384681716,0.0,0.5,0.10344827586206896
trainer_小倉_win_rate,float64,0.0,282,0.099120048621938,0.09147192713069192,0.06251704826436119,0.0,0.5,0.08860759493670886
trainer_新潟_win_rate,float64,0.0,312,0.020796448484528184,0.09815831490714615,0.054939312381607375,0.0,0.2608695652173913,0.09090909090909091
trainer_札幌_win_rate,float64,0.0,213,0.10088523637132363,0.10502730635444149,0.0710051439902456,0.0,0.4788732394366197,0.09615384615384616
trainer_東京_win_rate,float64,0.0,324,0.09307401633062917,0.08091883667179606,0.05304784152011228,0.0,1.0,0.07514450867052024
trainer_福島_win_rate,float64,0.0,271,0.053674391565150754,0.0997480558605113,0.05875903038900073,0.0,0.3375,0.09090909090909091
trainer_阪神_win_rate,float64,0.0,304,0.13115767777396084,0.0869282133108988,0.05832373849416694,0.0,0.3409090909090909,0.08585858585858586
win_probability,float64,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
