Feature,Null_Rate,Zero_Rate,Null+Zero
basis_weight_zscore,0.0,0.04876523103800542,0.04876523103800542
jockey_win_rate,0.013791214485586959,0.01328413010970789,0.02707534459529485
past_3_passing_order_1_std,0.0,0.02630916601276224,0.02630916601276224
trainer_win_rate,0.013791214485586959,0.010474808640421657,0.024266023126008618
past_3_finish_position_std,0.0,0.019039722843225797,0.019039722843225797
past_3_passing_order_4_std,0.0,0.01808477562441704,0.01808477562441704
past_5_passing_order_1_std,0.0,0.013928164280532401,0.013928164280532401
past_10_passing_order_1_std,0.0,0.01246983403165391,0.01246983403165391
past_5_passing_order_4_std,0.0,0.01236989769480183,0.01236989769480183
past_5_finish_position_std,0.0,0.011662940645218601,0.011662940645218601
past_10_finish_position_std,0.0,0.01148527604637046,0.01148527604637046
past_10_passing_order_4_std,0.0,0.010900463408495329,0.010900463408495329
past_3_last_3f_time_std,0.0,0.003379328723924019,0.003379328723924019
past_5_last_3f_time_std,0.0,0.0024576936173992866,0.0024576936173992866
past_10_last_3f_time_std,0.0,0.00245399227158995,0.00245399227158995
horse_weight_zscore,0.0,0.002435485542543269,0.002435485542543269
past_5_passing_order_4_mean,0.0,0.0,0.0
past_3_passing_order_4_mean,0.0,0.0,0.0
basis_weight,0.0,0.0,0.0
past_5_finish_position_max,0.0,0.0,0.0
past_5_finish_position_mean,0.0,0.0,0.0
past_5_finish_position_median,0.0,0.0,0.0
days_since_last_race,0.0,0.0,0.0
past_5_last_3f_time_max,0.0,0.0,0.0
past_5_last_3f_time_median,0.0,0.0,0.0
past_5_last_3f_time_mean,0.0,0.0,0.0
past_5_passing_order_4_median,0.0,0.0,0.0
distance_m,0.0,0.0,0.0
horse_number,0.0,0.0,0.0
past_5_passing_order_1_max,0.0,0.0,0.0
past_5_passing_order_1_mean,0.0,0.0,0.0
past_5_passing_order_1_median,0.0,0.0,0.0
horse_weight,0.0,0.0,0.0
past_5_passing_order_4_max,0.0,0.0,0.0
past_3_passing_order_4_median,0.0,0.0,0.0
past_3_finish_position_max,0.0,0.0,0.0
past_3_passing_order_4_max,0.0,0.0,0.0
past_10_passing_order_1_mean,0.0,0.0,0.0
past_1_finish_position_mean,0.0,0.0,0.0
past_1_finish_position_max,0.0,0.0,0.0
past_10_passing_order_4_median,0.0,0.0,0.0
past_10_passing_order_4_mean,0.0,0.0,0.0
past_10_passing_order_4_max,0.0,0.0,0.0
past_10_passing_order_1_median,0.0,0.0,0.0
past_10_passing_order_1_max,0.0,0.0,0.0
past_3_passing_order_1_median,0.0,0.0,0.0
past_10_last_3f_time_median,0.0,0.0,0.0
past_10_last_3f_time_mean,0.0,0.0,0.0
past_10_last_3f_time_max,0.0,0.0,0.0
past_10_finish_position_median,0.0,0.0,0.0
past_10_finish_position_mean,0.0,0.0,0.0
past_10_finish_position_max,0.0,0.0,0.0
past_1_finish_position_median,0.0,0.0,0.0
past_1_last_3f_time_max,0.0,0.0,0.0
past_1_last_3f_time_mean,0.0,0.0,0.0
past_1_last_3f_time_median,0.0,0.0,0.0
past_1_passing_order_1_max,0.0,0.0,0.0
past_1_passing_order_1_mean,0.0,0.0,0.0
past_1_passing_order_1_median,0.0,0.0,0.0
past_1_passing_order_4_max,0.0,0.0,0.0
past_1_passing_order_4_mean,0.0,0.0,0.0
past_1_passing_order_4_median,0.0,0.0,0.0
past_3_finish_position_mean,0.0,0.0,0.0
past_3_finish_position_median,0.0,0.0,0.0
past_3_last_3f_time_max,0.0,0.0,0.0
past_3_last_3f_time_mean,0.0,0.0,0.0
past_3_last_3f_time_median,0.0,0.0,0.0
past_3_passing_order_1_max,0.0,0.0,0.0
past_3_passing_order_1_mean,0.0,0.0,0.0
age,0.0,0.0,0.0
