race_id,n_horses,odds_mean,odds_std,odds_cv,odds_min,odds_max,top1_horse,top1_prob,top1_odds,top1_relative_odds,top1_finish,top1_hit,top1_ev,top2_horse,top2_prob,top2_odds,top2_finish,winner_horse,winner_pred_rank,winner_pred_prob,winner_odds,winner_relative_odds,prob_gap_1_2,odds_gap_1_2,actual_2nd_horse,actual_3rd_horse,tansho_payout,tansho_horse,umaren_payout,umaren_horses,umatan_payout,sanrenpuku_payout,sanrentan_payout,wide_payouts,wide_min,wide_max
202509030206,18,88.15,113.34718268898177,1.2858443867156184,4.5,311.8,6,0.09171993355634973,5.4,0.061259217243335225,3,False,0.4952876412042886,13,0.059571031388184106,4.5,99,5,3,0.05737691567990262,4.5,0.05104934770277935,0.03214890216816563,-0.9000000000000004,9,6,450,5,6640,"(5, 9)",9370,10900,68050,"[1710, 360, 1980]",360,1980
202509030207,18,127.92777777777779,140.0188970673163,1.0945151983374704,3.4,409.1,1,0.24893098352833135,3.4,0.026577495982976502,3,False,0.8463653439963266,4,0.07247021545853292,11.1,5,16,12,0.01733643092164022,24.8,0.19385938246406392,0.17646076806979843,7.699999999999999,9,1,2480,16,6880,"(9, 16)",17170,8040,85160,"[1740, 1670, 530]",530,1740
202509030212,16,61.70625,95.78580596831662,1.5522869396263204,3.0,389.8,16,0.13754358317781,5.0,0.08102906917856781,1,True,0.6877179158890501,3,0.1363672961376211,6.3,6,16,1,0.13754358317781,5.0,0.08102906917856781,0.0011762870401889058,1.2999999999999998,8,4,500,16,1030,"(8, 16)",2320,4790,20630,"[470, 1280, 980]",470,1280
202509030304,18,101.48888888888888,127.15479167436683,1.2528937213370939,2.4,392.2,8,0.28468115488038936,14.3,0.1409021239325597,18,False,4.0709405147895685,18,0.06440966845445914,7.6,1,18,2,0.06440966845445914,7.6,0.0748850448872345,0.22027148642593022,-6.700000000000001,2,16,760,18,9430,"(2, 18)",13950,25120,152920,"[2430, 1190, 3470]",1190,3470
202509030308,6,25.78333333333333,28.428043665835798,1.102574414964543,1.5,72.2,6,0.5740144809976727,2.2,0.08532643826761475,3,False,1.26283185819488,4,0.35815184182695536,1.5,1,4,2,0.35815184182695536,1.5,0.058177117000646414,0.21586263917071735,-0.7000000000000002,5,6,150,4,460,"(4, 5)",700,160,930,"[140, 110, 150]",110,150
202509030309,13,62.91538461538461,79.38750789800882,1.2618139169508678,2.2,263.6,2,0.18533226605511127,9.0,0.1430492725272038,8,False,1.6679903944960015,4,0.08898790031327856,2.2,1,4,2,0.08898790031327856,2.2,0.034967599951094275,0.09634436574183271,-6.8,10,8,220,4,430,"(4, 10)",780,2310,7650,"[230, 840, 1170]",230,1170
202509030306,18,95.14444444444445,107.38327847822504,1.1286342476982663,2.2,384.3,4,0.23892013638574822,2.2,0.02312273735840243,1,True,0.5256243000486461,18,0.13526661664942025,3.4,3,4,1,0.23892013638574822,2.2,0.02312273735840243,0.10365351973632797,1.1999999999999997,1,18,220,4,600,"(1, 4)",1050,660,2700,"[250, 220, 340]",220,340
202509030404,15,114.53333333333335,154.060297410122,1.3451131904259777,1.5,452.2,14,0.2925572454559454,1.5,0.013096623981373689,5,False,0.4388358681839181,9,0.13671339195699128,9.1,3,12,4,0.09426937727043139,8.0,0.06984866123399301,0.15584385349895413,7.6,1,9,800,12,5030,"(1, 12)",11620,13330,86210,"[1720, 1400, 1360]",1360,1720
202509030407,10,45.03,66.08923344825372,1.4676711847269315,1.6,195.7,3,0.25764116426822165,1.6,0.03553186764379303,1,True,0.41222586282915463,1,0.14919891036754943,7.5,2,3,1,0.25764116426822165,1.6,0.03553186764379303,0.10844225390067222,5.9,1,5,160,3,600,"(1, 3)",790,770,2360,"[250, 170, 480]",170,480
202509030403,18,79.22222222222223,80.46186203307792,1.0156476273460044,4.1,257.7,9,0.13345665559085834,10.6,0.1338008415147265,2,False,1.4146405492630985,11,0.12563809548321944,4.4,7,14,8,0.05452149209898747,4.1,0.05175315568022439,0.0078185601076389,-6.199999999999999,9,10,410,14,2570,"(9, 14)",4440,6330,36710,"[970, 690, 1430]",690,1430
202509030409,15,70.47999999999999,90.76513018303261,1.2878139923812801,2.1,308.4,12,0.16486216784595675,2.1,0.029795686719636783,1,True,0.34621055247650917,5,0.14398387536166798,3.1,8,12,1,0.16486216784595675,2.1,0.029795686719636783,0.02087829248428877,1.0,8,15,210,12,1270,"(8, 12)",1980,6210,17180,"[530, 690, 2830]",530,2830
202509030312,16,47.7,58.107509554847276,1.218186783120488,3.2,197.3,11,0.15968897874701726,5.0,0.10482180293501048,13,False,0.7984448937350863,16,0.13613718590236357,7.7,4,4,4,0.049510097451587985,6.6,0.13836477987421383,0.023551792844653696,2.7,3,1,660,4,2810,"(3, 4)",4320,10250,50000,"[1050, 1640, 1300]",1050,1640
202509030410,18,69.6888888888889,100.9864166106971,1.4491035546815592,3.2,387.7,6,0.20769788221372154,3.2,0.04591836734693877,8,False,0.6646332230839089,5,0.18467762013872294,4.7,1,5,2,0.18467762013872294,4.7,0.06744260204081633,0.023020262074998604,1.5,18,17,470,5,5340,"(5, 18)",8270,9580,59720,"[1650, 690, 1660]",690,1660
202509030411,17,59.30588235294118,74.25052584484028,1.2519926000419408,4.0,253.9,15,0.2564895638018412,6.2,0.10454274945447331,8,False,1.5902352955714154,13,0.23691736009213663,10.6,14,12,7,0.07353084544915028,11.4,0.19222376512596706,0.019572203709704555,4.3999999999999995,1,7,1140,12,2370,"(1, 12)",5380,23200,127550,"[960, 6520, 2080]",960,6520
202509030510,12,37.583333333333336,68.45680566915347,1.8214671131482074,3.2,250.6,10,0.1423776541424907,3.2,0.08514412416851441,3,False,0.4556084932559703,5,0.12330431738367327,6.0,5,12,10,0.022849573903531845,17.9,0.4762749445676274,0.019073336758817436,2.8,11,10,1790,12,10330,"(11, 12)",21790,13430,116880,"[2310, 1220, 1110]",1110,2310
202509030603,18,106.86666666666665,121.49518024814569,1.1368856542246948,4.0,434.9,13,0.1654751516753256,4.6,0.0430442919525889,4,False,0.7611856977064977,18,0.15844238448938236,16.1,12,9,8,0.033840259851794195,8.5,0.07953836556456645,0.007032767185943228,11.500000000000002,8,10,850,9,1530,"(8, 9)",3560,2180,15230,"[530, 580, 350]",350,580
202509030506,14,50.34285714285714,48.88452192173391,0.9710319337461334,3.2,139.5,11,0.10667846728744224,3.2,0.06356413166855845,2,False,0.3413710953198152,8,0.08408735072219081,3.5,1,8,2,0.08408735072219081,3.5,0.06952326901248582,0.022591116565251423,0.2999999999999998,11,2,350,8,530,"(8, 11)",1020,2280,9060,"[230, 820, 850]",230,850
202509030507,10,49.660000000000004,86.36015284840572,1.7390284504310454,1.5,291.4,3,0.15480585559634855,1.5,0.030205396697543293,4,False,0.23220878339452283,7,0.085077295278141,29.3,2,6,7,0.028868317226554613,31.0,0.6242448650825614,0.06972856031820755,27.8,7,2,3100,6,23340,"(6, 7)",57510,48800,517440,"[4380, 2300, 2870]",2300,4380
202509030509,13,30.661538461538463,42.91723698899116,1.3997091842872178,2.5,161.1,5,0.19384034038466233,2.5,0.08153537380832915,5,False,0.48460085096165584,11,0.14534313779788968,9.5,6,12,7,0.041637473254124334,6.0,0.19568489713998996,0.04849720258677265,7.0,8,1,600,12,4050,"(8, 12)",8280,25890,109760,"[1370, 2160, 3150]",1370,3150
202509030512,14,72.69285714285715,130.58811033336673,1.796436616554126,3.0,440.0,8,0.17944849016195435,11.4,0.15682421145720743,6,False,2.0457127878462797,12,0.09478912959894328,16.4,10,5,3,0.0914480225248634,13.0,0.17883462710032424,0.08465936056301107,4.999999999999998,10,4,1300,5,21710,"(5, 10)",34370,26070,227630,"[5150, 1110, 2020]",1110,5150
202509030609,9,34.63333333333333,52.66633174998996,1.5206833036570728,2.3,166.9,4,0.0799624558948565,2.3,0.06641000962463907,2,False,0.18391364855816994,3,0.04825358721280022,6.8,5,8,7,0.01477855016513113,11.8,0.3407122232916266,0.031708868682056274,4.5,4,1,1180,8,920,"(4, 8)",2830,1140,9670,"[340, 560, 160]",160,560
202509030611,14,53.57142857142857,75.78559258827526,1.4146643949811384,4.0,263.7,6,0.17837927228753084,4.1,0.07653333333333333,7,False,0.7313550163788763,8,0.17353140378188903,5.1,10,2,4,0.15783307485639794,8.0,0.14933333333333335,0.004847868505641811,1.0,7,12,800,2,2100,"(2, 7)",4400,152740,519650,"[900, 22950, 19380]",900,22950
202509030604,15,103.42,109.82873160386715,1.0619680100934747,1.8,307.1,12,0.14335215288598008,1.8,0.017404757300328758,2,False,0.2580338751947642,2,0.08279441543810843,5.7,1,2,2,0.08279441543810843,5.7,0.0551150647843744,0.06055773744787164,3.9000000000000004,12,5,570,2,640,"(2, 12)",1600,1240,6950,"[250, 480, 300]",250,480
202509030607,9,70.46666666666667,82.94216358403004,1.1770411104640024,1.8,200.7,2,0.14184948324917465,7.6,0.10785241248817407,2,False,1.0780560726937274,6,0.1357437785687654,1.8,4,8,4,0.043601801305279235,5.9,0.0837275307473983,0.006105704680409246,-5.8,2,3,590,8,1780,"(2, 8)",3530,1280,8880,"[440, 260, 270]",260,440
202509040104,18,86.12222222222222,124.54241684972732,1.4461124392304812,3.5,347.7,16,0.13524135834881432,3.5,0.04063991743000903,9,False,0.4733447542208501,7,0.1087161273497315,10.9,8,2,3,0.09397314064638222,11.5,0.13353115727002968,0.026525230999082813,7.4,3,6,1150,2,4780,"(2, 3)",11050,28720,169080,"[1770, 2670, 3540]",1770,3540
202509040102,5,17.520000000000003,27.14455746553994,1.5493468873025078,1.4,65.7,1,0.40924762822608307,2.9,0.16552511415525112,2,False,1.1868181218556408,4,0.34262557326586207,8.4,5,5,3,0.31747205556249003,1.4,0.07990867579908674,0.066622054960221,5.5,1,2,140,5,150,"(1, 5)",210,1250,3150,"[110, 600, 590]",110,600
202509040108,9,65.65555555555557,97.05694348050416,1.4782746510823106,2.0,280.0,4,0.08545785507302942,4.3,0.06549331528177356,3,False,0.36746877681402645,2,0.06807029997569478,142.5,8,1,3,0.0648096482452717,2.0,0.030462007107801652,0.01738755509733464,138.2,6,4,200,1,450,"(1, 6)",660,490,1700,"[190, 190, 260]",190,260
202509040107,13,53.06153846153846,70.40347456460677,1.3268268619018382,2.6,204.4,6,0.2381258650417578,2.6,0.048999710060887214,1,True,0.6191272491085703,10,0.10049762994878561,10.7,3,6,1,0.2381258650417578,2.6,0.048999710060887214,0.1376282350929722,8.1,3,10,260,6,690,"(3, 6)",1100,2600,8950,"[290, 530, 1060]",290,1060
202509040209,13,88.05384615384615,177.67568589701395,2.0178072129476554,2.2,658.0,6,0.11845759693386626,5.7,0.06473311784747096,2,False,0.6752083025230377,13,0.11780211425486878,44.2,10,7,8,0.026303149283229518,5.8,0.06586878658163711,0.0006554826789974821,38.5,6,10,580,7,2040,"(6, 7)",3650,1580,13130,"[610, 360, 300]",300,610
202509040110,12,33.458333333333336,48.94039897176106,1.4627267438633442,3.9,154.4,5,0.14500555215022437,5.6,0.16737235367372352,3,False,0.8120310920412565,9,0.1424531433636506,3.9,11,10,3,0.14238311048443852,5.3,0.15840597758405975,0.0025524087865737843,-1.6999999999999997,6,5,530,10,1820,"(6, 10)",3580,3340,20630,"[680, 510, 740]",510,740
202509040208,5,10.4,8.891569040388767,0.8549585615758429,1.6,21.0,4,0.28676635449805066,1.6,0.15384615384615385,2,False,0.4588261671968811,3,0.21743723231296816,2.2,1,3,2,0.21743723231296816,2.2,0.21153846153846154,0.0693291221850825,0.6000000000000001,4,1,220,3,150,"(3, 4)",280,170,570,"[110, 160, 150]",110,160
202509040202,7,30.257142857142856,29.059643100748108,0.9604225765119772,1.4,73.9,7,0.5757414686310844,1.4,0.046270066100094424,2,False,0.8060380560835182,3,0.173352280443687,2.5,1,3,2,0.173352280443687,2.5,0.0826251180358829,0.40238918818739744,1.1,7,4,250,3,140,"(3, 7)",350,340,1380,"[110, 280, 230]",110,280
202509040204,16,72.74375,117.15212314906347,1.6104768196451718,3.3,439.6,14,0.24897639794819143,4.6,0.0632356731677979,3,False,1.1452914305616806,4,0.08779333678641549,8.8,14,9,5,0.04640277001246692,8.3,0.11409914941146147,0.16118306116177594,4.200000000000001,10,14,830,9,1330,"(9, 10)",3020,2260,13370,"[530, 1030, 300]",300,1030
202509040211,16,58.412499999999994,81.32828023920503,1.3923095268855987,2.5,323.7,1,0.11042950411697666,19.4,0.3321206933447464,5,False,2.142332379869347,4,0.09888972494535747,11.1,16,7,3,0.08007412569925429,19.4,0.3321206933447464,0.011539779171619191,-8.299999999999999,3,14,1940,7,3010,"(3, 7)",7830,2120,24560,"[870, 900, 200]",200,900
202509040303,5,30.28,41.07714693111,1.3565768471304491,1.5,96.7,2,0.44234781397740497,2.4,0.07926023778071334,1,True,1.061634753545772,3,0.33752550938305276,6.9,3,2,1,0.44234781397740497,2.4,0.07926023778071334,0.10482230459435221,4.5,5,3,240,2,110,"(2, 5)",320,130,470,"[100, 130, 130]",100,130
202509040308,6,25.46666666666667,40.62495128202207,1.5952206000794005,1.8,106.6,2,0.4481340604027485,1.8,0.0706806282722513,5,False,0.8066413087249473,1,0.23059021643815425,4.7,4,3,3,0.13365811082784407,2.5,0.0981675392670157,0.21754384396459425,2.9000000000000004,6,5,250,3,1460,"(3, 6)",1910,4540,18560,"[340, 680, 1070]",340,1070
202509040307,18,88.58888888888889,120.11986605979138,1.3559247391673428,3.7,405.0,18,0.24815744572025214,3.7,0.04176596011538944,13,False,0.9181825491649329,4,0.08079204058239207,9.4,6,14,6,0.04816069983316201,10.8,0.12191145114762324,0.16736540513786008,5.7,5,10,1080,14,10250,"(5, 14)",18370,55750,268510,"[3140, 2720, 4170]",2720,4170
